0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
1548	1767	11	4	43	155	178	37	35	4	4	29	11	11	126	42	41	28	30	17	13	5	50	47	61	65	115
2520	2021	13	4	50	161	160	43	36	4	4	33	12	12	118	39	39	32	35	22	15	5	40	56	72	77	117
1100	1111	14	2	22	102	46	18	20	1	1	14	5	5	66	25	24	20	15	10	7	3	11	25	32	34	45
1841	1608	14	4	37	113	99	32	25	3	3	25	9	9	95	32	32	25	26	16	11	4	23	42	54	57	80
2231	1956	14	4	48	147	110	42	33	4	4	31	11	11	102	37	37	30	34	20	15	5	27	54	69	73	101
1518	1364	15	3	30	149	135	25	32	2	2	21	7	7	102	34	34	25	21	13	9	3	37	34	43	46	83
941	948	15	1	18	91	23	14	17	1	1	12	4	3	63	22	22	18	12	7	5	2	7	20	25	27	33
1115	1090	16	2	21	93	65	17	19	1	1	14	5	5	70	24	24	19	15	10	6	2	15	25	31	33	48
1829	1969	16	4	49	149	128	42	33	4	4	32	11	11	110	38	38	31	34	20	15	5	31	54	70	74	105
1627	1557	16	3	36	131	117	30	29	3	3	23	9	9	96	32	32	25	25	15	11	4	31	40	52	55	86
1225	1249	16	2	27	92	52	22	20	2	2	18	6	6	77	27	27	22	19	11	8	3	12	30	38	41	53
1375	1505	16	3	35	85	10	30	19	3	3	23	9	9	69	27	27	24	24	14	11	3	5	39	50	53	57
1453	1777	16	4	43	140	123	37	31	4	4	29	10	10	104	36	36	29	30	18	13	5	30	48	61	65	95
1813	1717	17	4	40	171	191	35	38	4	4	28	10	10	127	40	40	28	28	18	12	5	55	46	59	62	117
976	1149	17	2	24	85	34	19	18	2	1	15	6	6	66	24	24	20	16	10	7	2	9	27	34	36	45
1815	1695	18	4	40	195	194	34	43	4	4	29	9	9	133	47	46	30	28	17	12	4	62	45	58	61	123
1571	1714	18	4	40	141	162	35	31	4	4	28	10	10	117	38	37	28	28	17	12	5	39	46	58	62	101
1775	1390	18	3	30	159	140	26	33	2	3	21	7	7	105	34	34	27	21	14	9	3	38	35	45	47	85
